Cohort,8/1/04,8/1/05,8/1/06,8/1/07,8/1/08,8/1/09,8/1/10,8/1/11,8/1/12,8/1/13,8/1/14,8/1/15,8/1/16,8/1/17,8/1/18,8/1/19,8/1/20,8/1/21
Class of 2005,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Class of 2006,177,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Class of 2007,158,188,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Class of 2008,159,151,175,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Class of 2009,0,154,118,161,198,0,0,0,0,0,0,0,0,0,0,0,0,0
Class of 2010,0,0,176,140,159,190,0,0,0,0,0,0,0,0,0,0,0,0
Class of 2011,0,0,0,152,144,160,187,0,0,0,0,0,0,0,0,0,0,0
Class of 2012,0,0,0,0,170,162,162,191,0,0,0,0,0,0,0,0,0,0
Class of 2013,0,0,0,0,0,181,166,175,200,0,0,0,0,0,0,0,0,0
Class of 2014,0,0,0,0,0,0,158,141,129,153,0,0,0,0,0,0,0,0
Class of 2015,0,0,0,0,0,0,0,150,124,124,142,0,0,0,0,0,0,0
Class of 2016,0,0,0,0,0,0,0,0,160,138,139,155,0,0,0,0,0,0
Class of 2017,0,0,0,0,0,0,0,0,0,158,141,155,168,0,0,0,0,0
Class of 2018,0,0,0,0,0,0,0,0,0,0,137,138,158,184,0,0,0,0
Class of 2019,0,0,0,0,0,0,0,0,0,0,0,152,142,156,185,0,0,0
Class of 2020,0,0,0,0,0,0,0,0,0,0,0,0,140,133,124,141,0,0
Class of 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,157,148,149,165,0
Class of 2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,149,161,170
Class of 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,151,151
Class of 2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,167
Class of 2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
